dd apple drawn,2085
r/g guan yinping,1590
l/lzeus,2928
a heimdallr,2400
rl ranger santa,533
b/r kurapika,1014
ll force,2715
hera dragon,2720
r/gdrahklist,2939
bl edogawa conan,2862
gathena,2811
ll cinnamoroll,1161
d pierdra,761
r hisoka,1022
d chiaotzu,1411
gg freyja,654
r/gdrall,757
d/rruchbah,2530
br antikythera,1458
xin hua,2762
bl ice golem,1273
l takemikazuchi,2551
shibabowdra,2432
b/disis,2812
ninja hattori,2427
rhanabishi recca,2469
d batgirl & batwoman,1686
skuld,2714
ggrobin,929
brgotenks,1938
ggliu bei,2903
ryune,2443
parvati,1956
llforce,2715
dl zeus,918
grlil' green dragon,1092
b kraken rider,2096
bdvampire,895
dd gore cat,2344
rpepper”火モード”,3160
ll lightning,2780
d/dcerberus,1214
lb arcline,1656
bbruka,1512
bllakshmi,1115
b/b kyoza meguri,2848
rb nim,1650
asacred dragon king saiga,716
l himi udon,2105
rg antares,3054
sha wujing,2182
bpuppetmaster santa,535
ll shining dragon swordsman,1507
thief,1902
r/d satan maria,1889
baphomet,1316
r himura kenshin,3019
l/leco baby tiny,1318
b gohan,1559
bkittyn & mimmyna,1147
beelzebub,1371
lseiya,1725
ultimate fencer,531
r/g makimachi misao,3031
l/b sandalphon,2892
g/l zhao yun,1711
d/d dragon samurai,3085
b/b baggi cat,859
a haku,2076
d/dvritra,1927
netero,1024
db sonia,2406
adqxq,2904
g sarutobi sasuke,1193
dg shantotto,2775
b/b eschamali,3113
dcaol-ila,445
liene,2100
lpatricia ezel,1289
andromeda,2658
r/gbarbados,1166
l/r bisky,1018
l/lyoroku,1525
b/r acubens,2555
robin,929
zeus mercury,1532
dbatman+batwing,2134
kotodama,1459
kyoza meguri,2848
b/b andromeda,2658
l unicorn,1213
r/lnapoleon,2916
r naga,1099
rrphoenix,1210
bb kerokerokeroppi,2087
g/bjormungandr,2639
eco dumpty alma,668
belial,2503
d archangel lucifer,2502
l/lpompompurin,2089
d machine necky,3094
d/lbasilisk,341
lleschamali,2949
rrranger,527
rmisato&aaa wunder,2328
gg mystic stone knight,2741
llex luthor,2831
g/gmeimei,2075
l/lrei&eva unit-00,2327
rdminerva,389
l zeus dragon,2719
d/d vritra,1927
d raditz,1798
burd,2289
b/l rukia kuchiki,2679
d/rizanami,2180
d/bblackbeard,978
underlord inferno hades,397
l hathor,2387
b/gzhou yu,2104
br sun quan,2902
angel cinnamon,1161
dpepper”闇モード”,3067
rb rozuel,2493
d dragon zombie,2947
g/r ikkaku madarame,2697
bg sea serpent,327
b/lrei,3075
jou kanayama,2616
ralibaba,2475
the tenth angel,712
g/ltakani megumi,3027
gdragonette,1096
gaia,2738
r/rranger,527
llsoldier,992
d zangetsu,2704
gcanopus,1206
g/bleorio,2228
dd super hades,1480
brmythril,1713
r/rfire dragon swordsman,1503
b sun quan,2902
g/landroid 16,1564
b/dheavy metal dragon,1473
bdsha wujing,2182
rlantares,3053
d/d mystic dark knight,2743
pepper”光モード”,3066
rd shishio makoto,3039
lsherias roots,2943
kamui,823
rdodin,2179
l/ghelianthus,1169
g/l sacred dragon king saiga another,1969
gg gaia,2738
rrsanada yukimura,3101
b/dsha wujing,2182
l/g indra,2979
anubis,2013
rgshedir,2531
d/d cursed dragon,3084
b/l trunks,1561
green ice leviathan,327
gdprincess valkyrie,1730
lregios cat,1604
bnoah,2391
gd griffin rider,2098
g vishnu,3070
kanna,3233
bgchrono turtle,489
bl android 18,1568
r/lkenshiro,2444
r pure,2294
l/g valkyrie,1727
g star justice,2987
gg bastet,495
gd astaroth,1260
l/rivory dragon,334
bdragoon,2799
g cell - first form,1939
r/l flame golem,1272
r/larchangel uriel,621
markab,2190
g/g ceres,1535
g sevenzard,2754
gg folen lazule,1287
l/r wol,2050
bbkraken,1211
r/gyasutora sado,2685
horus,2927
dvivi,2040
lgsakuya,2077
dragon lord zaerog,683
g/lamitan,841
shiryu,1724
d/r basilisk,338
don-chan,1554
dr zeromus,2055
gsacred dragon king saiga,716
agaia,1223
lmystic light knight,2742
r/l sphinx,2008
ll fagan,1342
ldtora,2486
gg green arrow,1682
d/gdragon zombie,2947
d/glil' black dragon,1094
b vampire,895
gd meimei,1266
g balboa,2945
lrtakeminakata,2806
l/b yuna,2766
gg archer,2801
lvalkyrie,1727
b/g aegir,2383
rl mitsuki,2574
btoa,2876
bulma,1804
l jeanne d'arc,1364
l/d sonia gran,1760
l mechadragon valhalla,411
b/lverdor,2940
gl earth golem,1274
lfat chocobo,2084
brinoa,2036
phoenix knight,99
d/r doomsday,2833
blakshmi,1955
g virgo,2644
d/r jed,1028
batgirl & batwoman,1686
dlfallen angel lucifer,2507
dbblack mage,2802
bninja hattori,2427
ll mechadragon valhalla,411
bverdor,2940
l/g lum,2463
awoken hera-beorc,1189
l/l yuria,2447
r/lalma,2242
sun deity ra,497
dl another geist,3017
r/l antares,3053
タマゾーｘ覚醒オーディン,3095
gmorigon,970
mamiya,1875
dsuccubus,1106
l/lgargwa cat,861
lbhathor,2387
g/l odin dragon,2257
r/d scarlet,2206
d/b lumiel,2497
g/dkali,2814
d ana,3090
gl odin dragon,2257
australis,2563
abastet,2011
rguan yu,1244
g/lartemis,891
ldlucifer,2014
rraoh,2445
l/bfenrir viz,2900
b sha wujing,2182
tatsuya bitou,2610
r/r ame no uzume,1296
lil' black dragon,1094
awoken sopdet,1463
water dragon swordsman,1505
albireo,2335
amon,2504
d/b haku,2076
g/lsacred dragon king saiga,716
ggon freecss,2226
drhadar,1207
l/bfuu,3116
r/d kurei,2846
rrberserker z,1121
鳳仙最強の男・美藤竜也,2610
zeus & hera,1923
r videl,1800
r/g videl,1800
g/d thief,1902
hagamar,1765
grsagara sanosuke,3025
rleilan,2073
d/b black mage,2802
a yamatsumi,2549
bb hatsume no tsubone,1192
awoken sphinx,2008
takemikazuchi,2551
dbloki,1348
d kali,2078
folen & hunting deity artemis,1287
nappa,1796
d/d chester,1627
d ruchbah,2530
d/rprincess valkyrie,1731
r/lvermilionyt,737
rlranger santa,533
d/l anubis,1001
hera-is,1737
blkamiya kaoru,3021
b/dshinji&eva unit-01,2326
dlelysion,776
ll krillin,1405
b/lzeus mercury,1532
dg zuoh,2746
ll radious,1127
l/dbaal,2506
cinderella,1419
rsphinx,2008
seta sojiro,3035
d/l murata juuzou,2620
rranger,1904
b/b undine,920
gg mari&eva provisional unit-05,700
g kirisawa fuko,2471
b coelacanth,2579
exa-hydra,1350
lunicorn rider,2100
blmetatron,3111
a ra,2012
ryamcha,1407
rr ame no uzume,1296
lddragon rider,1304
d doomsday,2833
rozuel,2493
guan yinping,1590
b the norn skuld,2714
dgpersephone,2239
l/g lemon dragon,1082
dgzuoh,2746
dlchaos,2052
ltime mage,1903
d/bcastor,3061
d/gscarecrow,2138
lanne & mary,977
g/lshiryu,1724
inferno,964
demperor masterion,1060
cold amberjack,1880
d/lsuccubus,1105
kapibara-san,612
grhorai,774
l light gemini,2645
b emperor of palamecia,2053
gryps rider,1305
g/l susano,1556
bghrungnir,820
br charité,2296
llra dragon,2259
krillin,1405
gdlinthia,1843
g daruma,440
dino rider drake,379
glkuarje,2877
l alcyone,2559
ll tinnin,2070
ggreen skydragon elysium,719
hera-sowilo,2946
l/b dd-guardian,851
l/b sakuya,2389
lbjuza,2449
g/r horai,774
d/b kurone,3117
shardra,758
linthia,1843
lra dragon,2259
ggsylph,921
d/dzarbon,1381
rg markab,2190
kouichi haruyama,2618
gphact,2192
d mystic dark knight,2743
b/d shinji&eva unit-01,2326
lsaori,2124
l/d venus,395
a zeus-dios,2948
l/l rei sirius,1621
d/d apple drawn,2085
d persephone,2751
llarchangel raphael,627
b/l famiel,2494
b/rviper orochi,1555
eren yeager,2355
mari&eva provisional unit-05,700
d/dhades,397
l baal,2506
r gyundo,1761
d/l chrollo lucilfer,1020
g/lparvati,1117
dgrape dragon,1084
bgohan,1559
rasuka&eva unit-02,1200
l myr,2969
gargwa cat,861
l fairlio,760
gb raguel,2941
d/d under construction,704
underlord hades,131
rdgigas,2019
rel dorado,772
b/galrescha,2418
valkyrie elize,1730
r baldin,2713
l/r sakuya,2510
g gigarock,1593
light twin star divinegon,1110
lum,2463
kenshin,3019
lrgadius,2950
r/g pure,2294
ld pollux,3060
l/rsanta claus,2524
d/d dark dragon swordsman,1899
a awoken odin cat,1199
rl silk,2666
g the norn verdandi,2390
lg seta sojiro,3035
g/gshiryu,1431
gg fudo,2451
g/dhera-beorc,2807
b hyoga,2123
thoth,1465
g kouichi haruyama,2618
terra,2773
pepper”闇モード”,3067
bdshinji&kaworu&unit-13,1201
g/bartemis,2749
d/dsleeping beauty,1421
ars paulina,1752
kodachinotsukai,2938
aplan,367
gdjuda,1869
d/dzangetsu,2704
d chrollo lucilfer,1020
shinjo kagato,2240
a thor,2395
rathalos cat,1196
db persephone,2751
l/r myojin yahiko,3023
慟哭の冥闘士・双子座のサガ,2122
b another justice,2989
g my melody,2088
gisle dragon yggdrasil,410
dginyu,1391
bshinomori aoshi,3029
lr vaan,2777
gl jord,2320
d/d sleeping beauty,1421
l/ltime mage,1903
g/lhigurashi kagome,2461
ll unicorn,1213
g rex cat,2343
delysium,1135
rd rathalos cat,1196
g/rmedjedra,1837
gbalboa,2945
b alrescha,2418
doomsday,2833
b hermes,2748
g/r robin hood,2920
awoken anubis,2013
l/lprincess punt,821
rei,3075
batman+batwing,2134
r/bthe norn urd,2663
g/lzhao yun,1711
b/g karin,1264
lbsupergirl,1678
g/d cameo,2670
g/druel,2495
llindra,1926
l/lseiya,1725
gilgamesh,2057
l/g pouf,1034
r/rchester,1707
l/d mephistopheles,1510
d/lfencer santa,537
blzeus mercury,1532
lb fenrir viz,2900
gbullfango cat,863
ljou kanayama,2616
rd surtr,2398
r sanada yukimura,3102
llizanagi,1299
lb cupid,1103
melon dragon,1080
lbcupid,1103
phoenix ikki,1435
yang guifei,2922
ldtatsuya bitou,2610
zidane,2038
nargacuga & narga cat,2340
bsun quan,2902
glodin,1423
princess soprano and the mysterious orbs,2733
gbartemis,2749
dichigo kurosaki,2677
dultimecia,2785
rflamedragon muspelheim,408
g/rdragonette,330
g mari&eva provisional unit-05,700
medjedra,1837
d/lmurata juuzou,2620
red dragon,22
bulldrome & bullfango cat,863
b rinoa,2036
lrsanta claus,2524
force,2715
dl elysion,776
osiris,2386
dchaos,2052
dzeus,918
d baphomet,1316
g/g mari&eva provisional unit-05,700
kamiya kaoru,3021
azeus vulcan,1252
g isle dragon yggdrasil,410
raditz,1798
bgotenks,1938
g machine athena,3074
b/r lil' blue dragon,1091
gg robin,929
rr chika makimura,1281
ld majin buu,1580
a viper orochi,2322
g becrux,2336
bumisachi&yamasachi,2279
g/gishida mitsunari,3105
g/g woodbahn,1352
l ivory dragon,1110
lilith kuromi,1159
kurei,2846
g/lshaina,1719
stray soul beast izuna,885
gr robin hood,2920
d/dgrisar,1849
b/g sarutobi sasuke,2815
lelia,1848
gkaede,2972
rdshishio makoto,3039
lowen,2931
llwee jas,1625
evil darkdragon vritra,658
lr kali,1747
g masamune,1883
l/d baal,2506
bl famiel,2494
bd nirai kanai,773
r/g antares,3054
llemon dragon,1082
ultimecia,2785
phoenix resurrected,399
bd heavy metal dragon,1473
a sopdet,1463
wee jas,1705
db ana,3090
larcline,1656
great wroggi & wroggi cat,857
blue flamedragon muspelheim,413
d king metal cat,877
kut-ku cat,1606
rbouya harumichi,2602
b indigo,2263
d gravis,1648
lvaan,2777
d/dfallen angel lucifer,1553
b/g shinomori aoshi,3029
guivre chimera,1123
r agni,2637
grikkaku madarame,2697
grangiku matsumoto,2693
d/gpersephone,2239
b/larchangel gabriel,623
laphroaig,444
armin arlert,2362
gg sylph,921
g/bbalboa,2945
lrkanna,2534
kenshiro,2444
r/l gainaut,1839
lmajin buu,1580
g/rsasha blouse,2372
rbtheurgia,1750
l/l gargwa cat,861
g/d linthia,1843
lg shangri-la,775
lb sakuya,2389
rrain,2784
rbphoenix rider,2094
ahera-beorc,1189
dlanother geist,3017
dill sirius,1623
bd braska's final aeon,2787
rl yamato takeru,2536
water dominion gabriel,623
lg indra,2979
ll uryu ishida,2683
d/dsuper hades,1480
d okuninushi,2282
g caph,2529
l/b da qiao & xiao qiao,2904
gearth dragon swordsman,1897
春道の舎弟・安田泰男,2612
osamu furukawa,2606
lltime mage,1903
l orichalcum,740
l/g apollo,2750
b/l ice golem,1273
g/gmelon dragon,1080
b/b archangel gabriel,2499
d/b durga,2083
dgdragon zombie,2947
dd ryushin kunou,2608
susano no mikoto,1556
bb yo minuzaki,1279
sleeping beauty,1421
d laila,2409
d/d batgirl & batwoman,1686
l ilm,3236
d/r vampire lord,2410
d/roda nobunaga,2924
ultimate thief,460
ll elia,1848
r shishio makoto,3039
rrace,2926
l/l neo exdeath,2056
glathena,2810
evil ceres,393
mitsuhashi & ito,2860
dl succubus,1105
princess valkyrie,515
dbad badtz-maru,1157
awoken deus ex machina,2234
d/r hideto bandou,2614
umisachi&yamasachi,2279
アテナの使命・沙織,2124
d/r juggler,2803
lb hathor,2387
llmechadragon valhalla,411
g/l guan yu,1242
gr zhang fei,1425
avenus,1928
ahera,190
lr saria,2441
ab white bird matilda,957
b toa,2876
ddbad badtz-maru,1157
g delgado,1654
cyclone devil dragon,1094
bd alfecca,2191
d fencer santa,537
glamitan,841
l/llinka,2735
dxuanzang,1248
sea devil kraken,401
l/rsaria,2441
rlleilan,1263
noah,2391
gigas,107
lzeus dragon,2719
gl wonder woman,2825
r/r dd-drake,843
llivory dragon,1110
ushio & tora,2465
ldshin,1865
b/gthe norn skuld,2714
g/ggriffin,1212
hephaestus dragon,2716
bdneptune dragon,2255
lsupergirl,1678
b leona akita,1285
a ceres,1535
r/r flamedragon muspelheim,408
l/d hattori hanzo,2538
d/r batman+s. gloves,2133
bisis,2010
bard robin,1303
b/gshinomori aoshi,3029
l dd-guardian,851
abe royal guard pig,1643
g/baustralis,2563
gbjormungandr,2639
b/rmori motonari,3104
gthreedia,1472
d/barchangel lucifer,2502
g ancient wooden beast,2115
d/bvampire,894
dd chiaotzu,1411
d/dfencer,1906
first awoken form,2326
d mutecocoon,1601
gb kapibara-san & white-san,1936
ddgin,2868
d gamble mage,487
l/l seiya,1725
dsatsuki,2150
bkyoza meguri,2848
l/bizanami,2664
凶災の幻影龍・アニマ,3083
lil' red dragon,1090
alcyone,2559
ll pterra,483
brviper orochi,1555
d hattori hanzo,1195
g/dragnarok dragon,2594
gunma,439
r/d android 17,1566
brcharité,2296
r/lminerva,388
l/l pompompurin,2089
tamadrapurin,1163
falcon horus,491
l cloud,2764
rdsalamander,325
l/l shedar,2188
laladdin,2473
r/rbelial,2503
l/b cupid,1103
l/luryu ishida,2683
morigannon,969
d/d shadow lord,2788
r/g set,2384
dl saga,2122
dghamal,2561
rrhorus,994
g/b hanuman,2838
genie,922
rltitan,984
djaggi cat,855
hurricane volcano dragon,1090
btoshiro hitsugaya,2691
l/r female titan,2378
ldmephistopheles,1510
blizzard archdemon amon,633
drnephthys,2388
d/b batman+batwing,1476
blhermes,890
wiz merlin,1302
lcupid,1104
r/lhanazawa saburou,2630
lrvaan,2777
l/bvenus,1928
bbnut,2385
l zeus,2928
rlsedin,2875
ggcasablanca,1168
g/g melon dragon,1080
a zeus,2928
rdace,2046
gdaemo,2048
drbahamut,993
fertility deity ceres,127
ll da qiao & xiao qiao,1744
rl alibaba,2475
rg lil' red dragon,1090
bgumisachi&yamasachi,2279
rrhephaestus,2722
l/b supergirl,1678
hera-ur-senpai,2018
g/d abe guard captain pig,1643
zeta hydra,1350
l/b netero,1024
saria,2441
b odin,1925
d/larchangel lucifer,629
g/gbastet,495
dg war princess asmodeus another,2249
b barbarossa,2918
darchangel lucifer,2502
d cerberus rider,2102
lumiel,2497
rfire dragon swordsman,1503
rrkagutsuchi,133
verche,2742
r/l sedin,2875
l/r apollo,892
l/g lil' white dragon,1093
d/b judar,2479
bdkarin,1265
sagittarius seiya,1725
lbizanagi,2984
llfacet,2672
trance vivi,2040
b/l idunn&idunna,1345
hera maria,1494
chrollo lucilfer,1020
agdrall,289
b/r sun quan,2902
the ninth angel - assault mode,1205
dd okuninushi,1300
ll time mage,1903
lbfuu,3116
lmephistopheles,1510
ruchbah,2530
r dd-drake,843
yamatsumi dragon,3002
gsylvie,2509
ld mephistopheles,1510
garchangel michael,2500
a isis,2010
llpterra,483
g/g thumbelina,1417
l/rfragrem,2878
dd xuanzang,1248
sonia gran reverse,2737
r/bel dorado,772
a polaris,2247
sherospada,2127
rcolossus titan,2376
a black zeus,1498
pterra,483
b/d ilsix,2277
d/l vegeta,1560
b/bandromeda,2658
yo & king siegfried,1279
aemo,2048
l/g yang guifei,2922
l fagan,1342
d/l saga,2122
grdelgado,1654
d/gzoë hange,2368
l/l cinnamoroll,1161
d/d succubus,1106
d/dcursed dragon,3084
lbleonis,2193
b/gmeimei,3114
d/l eschamali,2592
l/b leonis,2193
b/rhermes,2748
aama,2324
princess soprano,2733
gohan,1559
g/dsevenzard,2754
awoken gaia,1223
r theurgia,1750
l/l mu,1721
nephthys,2388
gr delgado,1654
b/l aegir,2963
db basilisk,339
b happo,1762
rminerva,1533
dgcerberus rider,2102
a zeus vulcan,1252
war deity minerva,123
b/bchester,2291
gl phact,2192
b zabgon,967
g/gkushinadahime,2280
r/l renji abarai,2699
bltrunks,1561
bgmuse,1652
rl agni,2637
bandromeda,2658
uonuma usui,3043
l/l mistrain,1354
red ice leviathan,326
b/b isis,996
glarchangel michael,625
b edogawa conan,2862
l cinnamoroll,1161
b/b toshiro hitsugaya,2691
rr hanabishi recca,2469
l/rsakuya,2510
l/l krillin,1405
lbnetero,1024
lfenrir viz,2900
killua zoldyck,2227
g ragnarok dragon,2594
gg kirisawa fuko,2471
g princess valkyrie,1730
dark golem mk.ii,87
rg strawberry dragon,1076
lhathor,2387
g/lguan yu,1242
ars nova,1756
asmodeus another,2249
marine rider,1303
d/lbatman+s. gloves,1221
shardran,292
dgaamir,2809
g/b plan,1320
bd ilsix,2277
dfagan,1343
byou yu,2758
bl rukia kuchiki,2679
brclaymore,1882
bhakumen no mono,2485
rshiva dragon,2253
aviper orochi,2322
shadow lord,2788
g/bcaptain kidd,976
g/d kisuke urahara,2689
ll ra dragon,2259
d/rhadar,1207
gl sacred dragon king saiga,716
rrberserker,2800
crystal aurora dragon,212
bchrono turtle,489
dbarchangel lucifer,2502
dlakechi mitsuhide,3110
d/g mayuri kurotsuchi,2701
d/blumiel,2497
g/gdragonette,1096
b/b neptune,1534
dchrollo lucilfer,1020
r/bphoenix rider,2094
r/dguan yu,1244
lb takemikazuchi,2551
g/dastaroth,1260
r/bab wingman,961
bmikasa ackerman,2357
awoken zeus mercury,1532
r hephaestus,2722
gdthief,1902
machine golem mk.ii,85
l/l eco baby tiny,1318
gfreyja,2394
b/ltrunks,1561
g/galnair,2187
rl inuyasha,2459
fudo of the mountains,2451
g osamu furukawa,2606
rrhera-ur,1536
bpuppetmaster,1905
dlcastor,3062
g calico nyadra,1959
dghades,1748
flame golem,1272
d hel,2893
g lil' green dragon,1092
g/g archer,2801
tsih,2532
r/lterra,2773
lleco baby tiny,1318
strawberry dragon,1076
rr freyr,652
bmystic ice knight,823
d/dblack mage,456
libra dohko,1723
lrsuperman,2824
lrhimi udon,2105
bb ice dragon niflheim,409
l/r uub,1941
d/l loki,2396
llcrystal ruler hikari - tenchi,2571
gタマゾーｘ覚醒オーディン,3095
最強戦士・超ベジット,1937
rbrozuel,2493
b/d karin,1265
g/d great tengu,2129
r/gsonia,2512
rgtheurgia,2821
bbsarasvati,3069
b/lrukia kuchiki,2679
dr doomsday,2833
g/l rathian cat,1197
ldeathstroke,1058
rwangren,1225
dg yomi,2325
dbdurga,2083
aastaroth,2505
awoken astaroth,2505
r surtr,2398
ryasutora sado,2685
g/bspica,3058
sasuke,1193
b isis,2010
g/ldryad,1102
ddlu bu,1240
r hello kitty,2086
llelia,1848
rgmakimachi misao,3031
d/b persephone,2751
lllightning,2780
barbados,1166
gd ishida mitsunari,3106
glzhao yun,1711
r krishna,3068
dsatan,1646
ll pompompurin,2089
arkham knight,2140
awoken neptune,1534
b/bbulma,1804
d/r raditz,1798
ddark golem,2128
l/gpouf,1034
rl squall,2034
b viper orochi,2322
puzzdroid,831
g/g sadojima hoji,3041
r/g drall,757
rl youpi,1036
rdheavy metal dragon,1712
dscarecrow,2138
l/l cloud,2764
bviper orochi,2322
bgberry dragon,1078
randroid 17,1566
l/rgenie,1782
l/lcupid,1104
d/l dark angel metatron,643
bastet ace,2929
ikki,1435
d/dbasilisk,1111
vaan,2777
g jord,2320
d/l yomi dragon,2261
awoken liu bei,2903
r/l eren yeager,2355
l genie,922
grliu bei,1743
gl piccolo,1562
gdfreyja,2394
ren hakuryuu,2856
bbarbarossa,2918
ddpersephone,576
d/l elysion,776
b puppetmaster santa,535
lb netero,1024
r/d raoh,2445
g rachel moore,2864
d chester,1627
br shardra,758
g/d highlander,693
l/r kanna,2534
brsun quan,2902
ggdraggie,1190
lb orichalcum,740
rachel moore,2864
d/ldark angel metatron,643
ll ivory dragon,1110
dhel,2893
blrukia kuchiki,2679
asuper hades,1480
bg polaris,2248
dg naraku,2483
ddcoc p.e.k.k.a,731
l lex luthor,2831
zaerog,1712
l/lganesha,3071
anne punt quettebuss in love,821
rbetelgeuse,283
rd ikki,1435
r/b the norn urd,2663
dranubis,2013
r/rmitsuki,1511
rshedir,2531
majin buu - evil,1581
gigas the great,984
l saori,2124
d/rbahamut,993
rvidel,1800
rtrance kuja,2786
g/gearth dragon swordsman,1897
ryamato takeru dragon,3000
g/d aemo,2048
hephaestus,2722
blfamiel,2494
l time mage,1903
bg ars paulina,1752
awoken indra,2979
hera-beorc,2807
l seta sojiro,3035
rd raoh,2445
gdhera-beorc,2807
glavalon drake,2752
rrbelial,2503
glorihime inoue,2681
d/b zaerog∞,1847
lbtakemikazuchi,2551
ggancient wooden beast,2115
d super hades,1480
ahaku,2076
g/ggreen arrow,1682
bren kougyoku,2858
d/g basilisk,340
g/r medjedra,1837
g/l canopus,1206
d/d ryushin kunou,2608
hatsume no tsubone,1192
d elysium,1135
b/ltoki,3076
g/lhera-beorc,2962
garmadel,1754
g/g casablanca,1168
g sadojima hoji,3041
l/btakemikazuchi,2551
neptune,1534
d/bpumpkin joker,2403
l nappa,1796
awoken deity odin,365
lborichalcum,740
lbarcline,1656
g/b meimei,3151
ahel,2402
b/b mermaid,1100
r hephaestus dragon,2716
l/lwee jas,1625
l sherias roots,2943
apollo,2750
rdhera-ur,599
l/rhimi udon,2105
llrhenoplos cat,865
himi udon,2105
r heavy metal dragon,1712
lsacred dragon king saiga,883
gbarmin arlert,2362
bur-chimera,1123
sakuya,2389
evil dragon helheim,412
ll rei sirius,1621
glrachel moore,2864
dq,1744
r squall,2034
gl takani megumi,3027
defoud,1631
g/b marine rider,1303
r/dbelial,631
blhyoga,2123
frieza - third form,1378
ryasuda,2612
lg lil' white dragon,1093
melagon,964
l helianthus,1169
ld ivory dragon,337
l/dking,1030
ld hattori hanzo,2538
ll alex santa,539
bnut,2385
r/d タマゾーｘ覚醒幻神・オーディン,3162
spinas,18
g/ljord,2320
vampire lord,111
ll shedar,2188
muse,1652
r/r exa-hydra,1350
d kefka,2059
rl salamander,324
l bisky,1018
l龍喚士・ana,3087
g/l rachel moore,2864
fat chocobo,2084
rrmitsuki,1511
l izanagi,2984
b/b puppetmaster,1905
glstar justice,2987
b rukia kuchiki,2679
d/g alraune,2411
rthuban,2185
b ur-chimera,1123
l/lapocalypse,2925
b mori motonari,3103
fencer santa,537
dark wood fafnir,333
r alibaba,2475
a sakuya,2389
awoken heimdallr,2400
r exa-hydra,1350
究極装備 ranger,1904
gdruel,2495
bchester,2291
gsagara sanosuke,3025
mayuri kurotsuchi,2701
rr archangel uriel,2498
rrexiled apollo,715
cell - second form,1570
b/b karin,2074
ajord,2320
gg sadojima hoji,3041
rd kurei,2846
l/bnetero,1024
gd hera-beorc,2807
l bastet,2952
d/r gravis,1648
l leonis,2193
gg parvati,1956
amaterasu ohkami,1557
dbbeelzebub,645
ren kougyoku,2858
rdjean kirstein,2366
d/l castor,3062
g/lorihime inoue,2681
三代目武装戦線四天王・阪東秀人,2614
awoken machine athena,3074
r/rshinjo kagato,2240
gr sagara sanosuke,3025
lg lemon dragon,1082
lbanne & mary,977
r/g sonia,2512
g/d sinbad,2854
crystalskull,1459
b/g chrono turtle,489
angelion,760
sesshomaru,2840
r rathalos cat,1196
ghonjo kamatari,3037
l radious,1127
lb dd-guardian,851
l xiu min,2760
lg byakuya kuchiki,2703
d kenpachi zaraki,2695
zhou yu,2104
l/lamaterasu,988
l/b zhuge liang,1375
lapocalypse,2925
joker+a. blossom,925
d/rhaku,1268
lb thor,2395
d/r anubis,2013
g griffin,1212
dlsuccubus,1105
rdsonia another,2570
ddspinon,484
b hatsume no tsubone,1192
llunicorn,1213
b/rgotenks,1938
g/larchangel michael,625
sheen,2674
ll venus,394
bcancer,2648
bl neptune,390
b/b water dragon swordsman,1505
b/bsharon,1617
mistrain,1354
r/l hera,1781
glrathian cat,1197
hamal,2561
drpersephone,893
db typhon,2745
rgigas,2019
b kamui,2740
r/r catwoman,927
b/g meimei,3114
bgviper orochi,2322
d/rdamascus,741
fire dragon knight,1503
l/r ars nova,1756
dd anubis,1000
g/lthreedia,1472
phact,2192
flare drall,757
l/dヤ魔モトｐ,2221
judar,2479
dark courier kurone,427
r/rhello kitty,2086
dizanami,2180
l/b cat khezu,1610
l/ruub,1941
db satan,647
d loki,2396
alfecca,2191
gd linthia,1843
gg dragonette,1096
d/ghamal,2561
